dataset,model,seed,method,reject_percent,rejection_rate,accuracy_before_rejection,accuracy_after_rejection,kept_count
tissuemnist,mobilenetv3_small,,entropy,50,0.5,0.6493866328257191,0.8244500846023689,23640
tissuemnist,mobilenetv3_small,,gradient,10,0.1,0.6493866328257191,0.6423434856175972,42552
tissuemnist,mobilenetv3_small,,gradient,20,0.2,0.6493866328257191,0.6361304991539763,37824
tissuemnist,mobilenetv3_small,,gradient,30,0.3,0.6493866328257191,0.6299250664732898,33096
tissuemnist,mobilenetv3_small,,gradient,40,0.4,0.6493866328257191,0.6224971799210378,28368
tissuemnist,mobilenetv3_small,,gradient,50,0.5,0.6493866328257191,0.616751269035533,23640
tissuemnist,mobilenetv3_small,,hybrid,10,0.1,0.6493866328257191,0.682294604248919,42552
tissuemnist,mobilenetv3_small,,hybrid,20,0.2,0.6493866328257191,0.7132772842639594,37824
tissuemnist,mobilenetv3_small,,hybrid,30,0.3,0.6493866328257191,0.7438361131254533,33096
tissuemnist,mobilenetv3_small,,hybrid,40,0.4,0.6493866328257191,0.7760504794134235,28368
tissuemnist,mobilenetv3_small,,hybrid,50,0.5,0.6493866328257191,0.8118020304568528,23640
tissuemnist,shufflenetv2_0_5,,entropy,10,0.1,0.6369923857868021,0.6719543147208121,42552
tissuemnist,shufflenetv2_0_5,,entropy,20,0.2,0.6369923857868021,0.7040503384094755,37824
tissuemnist,shufflenetv2_0_5,,entropy,30,0.3,0.6369923857868021,0.7374002900652646,33096
tissuemnist,shufflenetv2_0_5,,entropy,40,0.4,0.6369923857868021,0.7723138747884941,28368
tissuemnist,shufflenetv2_0_5,,entropy,50,0.5,0.6369923857868021,0.8102791878172588,23640
tissuemnist,shufflenetv2_0_5,,gradient,10,0.1,0.6369923857868021,0.6337657454408724,42552
tissuemnist,shufflenetv2_0_5,,gradient,20,0.2,0.6369923857868021,0.630631345177665,37824
tissuemnist,shufflenetv2_0_5,,gradient,30,0.3,0.6369923857868021,0.6268129079042785,33096
tissuemnist,shufflenetv2_0_5,,gradient,40,0.4,0.6369923857868021,0.6220036661026509,28368
tissuemnist,shufflenetv2_0_5,,gradient,50,0.5,0.6369923857868021,0.6168358714043993,23640
tissuemnist,shufflenetv2_0_5,,hybrid,10,0.1,0.6369923857868021,0.663141567963903,42552
tissuemnist,shufflenetv2_0_5,,hybrid,20,0.2,0.6369923857868021,0.692258883248731,37824
tissuemnist,shufflenetv2_0_5,,hybrid,30,0.3,0.6369923857868021,0.7231085327532027,33096
tissuemnist,shufflenetv2_0_5,,hybrid,40,0.4,0.6369923857868021,0.7563804286520023,28368
tissuemnist,shufflenetv2_0_5,,hybrid,50,0.5,0.6369923857868021,0.7936971235194585,23640
