dataset,model,seed,method,reject_percent,rejection_rate,accuracy_before_rejection,accuracy_after_rejection,kept_count
tinyimagenet,mobilenetv3_small,42,gradient,40,0.4,0.3651,0.3446666666666667,6000
tinyimagenet,mobilenetv3_small,42,gradient,50,0.5,0.3651,0.3422,5000
tinyimagenet,mobilenetv3_small,42,hybrid,10,0.1,0.3651,0.3868888888888889,9000
tinyimagenet,mobilenetv3_small,42,hybrid,20,0.2,0.3651,0.414125,8000
tinyimagenet,mobilenetv3_small,42,hybrid,30,0.3,0.3651,0.44485714285714284,7000
tinyimagenet,mobilenetv3_small,42,hybrid,40,0.4,0.3651,0.4781666666666667,6000
tinyimagenet,mobilenetv3_small,42,hybrid,50,0.5,0.3651,0.5222,5000
tinyimagenet,shufflenetv2_0_5,42,entropy,10,0.1,0.3331,0.3601111111111111,9000
tinyimagenet,shufflenetv2_0_5,42,entropy,20,0.2,0.3331,0.388,8000
tinyimagenet,shufflenetv2_0_5,42,entropy,30,0.3,0.3331,0.42042857142857143,7000
tinyimagenet,shufflenetv2_0_5,42,entropy,40,0.4,0.3331,0.45966666666666667,6000
tinyimagenet,shufflenetv2_0_5,42,entropy,50,0.5,0.3331,0.5016,5000
tinyimagenet,shufflenetv2_0_5,42,gradient,10,0.1,0.3331,0.3323333333333333,9000
tinyimagenet,shufflenetv2_0_5,42,gradient,20,0.2,0.3331,0.33375,8000
tinyimagenet,shufflenetv2_0_5,42,gradient,30,0.3,0.3331,0.3362857142857143,7000
tinyimagenet,shufflenetv2_0_5,42,gradient,40,0.4,0.3331,0.342,6000
tinyimagenet,shufflenetv2_0_5,42,gradient,50,0.5,0.3331,0.343,5000
tinyimagenet,shufflenetv2_0_5,42,hybrid,10,0.1,0.3331,0.3527777777777778,9000
tinyimagenet,shufflenetv2_0_5,42,hybrid,20,0.2,0.3331,0.373125,8000
tinyimagenet,shufflenetv2_0_5,42,hybrid,30,0.3,0.3331,0.4022857142857143,7000
tinyimagenet,shufflenetv2_0_5,42,hybrid,40,0.4,0.3331,0.43616666666666665,6000
tinyimagenet,shufflenetv2_0_5,42,hybrid,50,0.5,0.3331,0.4774,5000
tinyimagenet-c,efficientnetv2_s,42,entropy,10,0.1,0.09843333333333333,0.10666962962962963,675000
tinyimagenet-c,efficientnetv2_s,42,entropy,20,0.2,0.09843333333333333,0.115715,600000
tinyimagenet-c,efficientnetv2_s,42,entropy,30,0.3,0.09843333333333333,0.12568761904761905,525000
tinyimagenet-c,efficientnetv2_s,42,entropy,40,0.4,0.09843333333333333,0.13784444444444444,450000
tinyimagenet-c,efficientnetv2_s,42,entropy,50,0.5,0.09843333333333333,0.152888,375000
tinyimagenet-c,efficientnetv2_s,42,gradient,10,0.1,0.09843333333333333,0.09966074074074074,675000
tinyimagenet-c,efficientnetv2_s,42,gradient,20,0.2,0.09843333333333333,0.10206333333333334,600000
tinyimagenet-c,efficientnetv2_s,42,gradient,30,0.3,0.09843333333333333,0.10566285714285714,525000
